final_logins_m_1,final_logins_m_2,final_logins_m_3,final_kudos_t_m_1,final_kudos_t_m_2,final_kudos_t_m_3,final_kudos_f_m_1,final_kudos_f_m_2,final_kudos_f_m_3,final_kpi_m_1,final_kpi_m_2,final_kpi_m_3,final_lrn_m_1,final_lrn_m_2,final_lrn_m_3,final_lrn_t_m_1,final_lrn_t_m_2,final_lrn_t_m_3,target,Trend_logins_1,Trend_logins_2,Trend_kudos_t_m_1,Trend_kudos_t_m_2,Trend_kudos_f_m_1,Trend_kudos_f_m_2,Trend_kpi_m_1,Trend_kpi_m_2,Trend_lrn_m_1,Trend_lrn_m_2,Trend_lrn_t_m_1,Trend_lrn_t_m_2
0.109978079,0.067478605,0.106022231,0.129032258,0.191489362,0.15625,0,0.019704433,0,0.096644295,0.059387566,0.0405,0.186081268,0.156324012,0.11929,0.089238845,0.1822737,0.125,0,-0.042499473,0.038543625,0.062457104,-0.035239362,0.019704433,-0.019704433,-0.03725673,-0.018887566,-0.029757257,-0.037034012,0.093034855,-0.0572737
0.046947063,0.003561727,0.00896612,0.064516129,0,0,0,0,0,0.10738255,0.020414476,0.00825,0.15564027,0,0,0.049868766,0,0,0,-0.043385336,0.005404393,-0.064516129,0,0,0,-0.086968075,-0.012164476,-0.15564027,0,-0.049868766,0
0.103498255,0.07265107,0.651204602,0.129032258,0.106382979,0.09375,0,0,0,0.104026846,0.063099289,0.052,0.190608213,0.154896818,0.10403,0.11023622,0.211053758,0.165441176,0,-0.030847185,0.578553533,-0.022649279,-0.012632979,0,0,-0.040927557,-0.011099289,-0.035711396,-0.050866818,0.100817538,-0.045612582
0.054605037,0.070434299,0.169715303,0,0.021276596,0.125,0,0.004926108,0.055555556,0.027852349,0.033405506,0.0175,0.878751516,0.284335583,0.13723,0.377952756,0.527634395,0.5,0,0.015829262,0.099281004,0.021276596,0.103723404,0.004926108,0.050629447,0.005553157,-0.015905506,-0.594415933,-0.147105583,0.149681639,-0.027634395
0.323223197,0.154302111,0.240990885,0,0.021276596,0.0625,0,0,0,0.076845638,0.060006186,0.05375,0.112632126,0.09771649,0.085693333,0.157480315,0.330970666,0.235294118,0,-0.168921086,0.086688774,0.021276596,0.041223404,0,0,-0.016839451,-0.006256186,-0.014915636,-0.012023157,0.173490351,-0.095676548
0.028685741,0.016862349,0.04384566,0.161290323,0.063829787,0.1875,0,0,0,0.110738255,0.061862048,0.037,0.213567839,0.235294118,0.135473333,0.052493438,0.086340174,0.051470588,0,-0.011823392,0.026983311,-0.097460535,0.123670213,0,0,-0.048876207,-0.024862048,0.021726278,-0.099820784,0.033846735,-0.034869586
0.078757108,0.050852828,0.09692322,0,0,0,0,0,0,0.230201342,0.183420971,0.14,0.127252643,0.132594021,0.255553333,0.028871391,0.047966763,0.011029412,0,-0.027904281,0.046070393,0,0,0,0,-0.046780371,-0.043420971,0.005341379,0.122959312,0.019095372,-0.036937351
0.119992352,0.105533163,0.143934774,0.193548387,0.212765957,0.125,0,0,0,0.229865772,0.082276523,0.04825,0.171638364,0.153118611,0.12811,0.146981627,0.249427169,0.132352941,0,-0.014459189,0.038401611,0.01921757,-0.087765957,0,0,-0.147589248,-0.034026523,-0.018519753,-0.025008611,0.102445541,-0.117074227
0.081113408,0.056764215,0.100714475,0,0,0,0,0,0,0.060738255,0.05165481,0.023,0.147782014,0.138669238,0.121073333,0.139107612,0.220647111,0.139705882,0,-0.024349193,0.043950259,0,0,0,0,-0.009083445,-0.02865481,-0.009112775,-0.017595905,0.081539499,-0.080941228
0.088771382,0.04715821,0.068867938,0,0,0,0,0,0,0.09261745,0.09124652,0.0655,0.16028418,0.1268081,0.147726667,0.044619423,0.129510261,0.088235294,0,-0.041613171,0.021709728,0,0,0,0,-0.001370929,-0.02574652,-0.033476079,0.020918566,0.084890838,-0.041274966
0.114690678,0.063783988,0.068867938,0.032258065,0.042553191,0.125,0,0,0.015873016,0.046979866,0.017939994,0.0125,0.253491596,0.146742527,0.1516,0.094488189,0.119916908,0.091911765,0,-0.05090669,0.00508395,0.010295127,0.082446809,0,0.015873016,-0.029039872,-0.005439994,-0.106749069,0.004857473,0.025428719,-0.028005143
0.125883101,0.074128916,0.109055234,0.032258065,0.021276596,0.03125,0,0,0,0.043288591,0.030003093,0.0315,0.105809219,0.085415622,0.074083333,0.181102362,0.431700869,0.183823529,0,-0.051754185,0.034926318,-0.010981469,0.009973404,0,0,-0.013285498,0.001496907,-0.020393597,-0.011332289,0.250598506,-0.247877339
